rank,word,count,occurrence_percentage,cumulative_percentage
248,"quien",187133,0.04528170,63.04021672
249,"demasiado",182668,0.04420128,63.08441800
250,"amor",182326,0.04411852,63.12853652
251,"entre",181114,0.04382525,63.17236177
252,"ve",179427,0.04341704,63.21577881
253,"pasado",178763,0.04325636,63.25903517
254,"familia",177748,0.04301076,63.30204593
255,"estos",176532,0.04271651,63.34476244
256,"policía",175471,0.04245978,63.38722222
257,"debería",175394,0.04244115,63.42966337
258,"ustedes",174241,0.04216215,63.47182551
259,"chica",173210,0.04191267,63.51373818
260,"esos",171237,0.04143525,63.55517344
261,"chicos",170008,0.04113786,63.59631130
262,"cuenta",169714,0.04106672,63.63737802
263,"haces",166985,0.04040637,63.67778439
264,"todavía",166624,0.04031902,63.71810341
265,"salir",165591,0.04006905,63.75817246
266,"algún",163790,0.03963326,63.79780572
267,"vaya",162833,0.03940169,63.83720740
268,"unos",162525,0.03932716,63.87653456
269,"veo",162326,0.03927900,63.91581356
270,"amigos",160684,0.03888168,63.95469524
271,"hermano",159678,0.03863825,63.99333349
272,"pensé",159438,0.03858018,64.03191367
273,"sabía",156439,0.03785449,64.06976816
274,"cabeza",156069,0.03776496,64.10753312
275,"ah",156002,0.03774875,64.14528186
276,"cariño",153353,0.03710775,64.18238962
277,"digo",153149,0.03705839,64.21944801
278,"van",153024,0.03702814,64.25647615
279,"hombres",151647,0.03669494,64.29317109
280,"buenas",151571,0.03667655,64.32984764
281,"somos",151256,0.03660033,64.36644797
282,"cualquier",150946,0.03652532,64.40297328
283,"forma",150750,0.03647789,64.43945117
284,"mientras",150383,0.03638908,64.47584026
285,"lado",149162,0.03609363,64.51193389
286,"debo",148975,0.03604838,64.54798227
287,"sería",148309,0.03588722,64.58386949
288,"caso",148273,0.03587851,64.61974801
289,"pueden",148183,0.03585674,64.65560474
290,"pasó",145810,0.03528253,64.69088727
291,"primera",145110,0.03511314,64.72600041
292,"genial",145028,0.03509330,64.76109371
293,"chico",145009,0.03508870,64.79618242
294,"supuesto",144428,0.03494812,64.83113053
295,"hice",144174,0.03488665,64.86601719
296,"pues",143870,0.03481309,64.90083028
297,"adiós",143677,0.03476639,64.93559667
298,"muchas",143007,0.03460427,64.97020094
299,"personas",141945,0.03434729,65.00454823
300,"señora",141893,0.03433471,65.03888294
301,"volver",141009,0.03412080,65.07300374
302,"esas",140885,0.03409079,65.10709453
303,"quizá",140794,0.03406877,65.14116331
304,"contra",140485,0.03399400,65.17515731
305,"camino",140092,0.03389891,65.20905622
306,"durante",139987,0.03387350,65.24292972
307,"hablando",139007,0.03363636,65.27656608
308,"manera",137722,0.03332542,65.30989151
309,"muerto",137301,0.03322355,65.34311506
310,"persona",136985,0.03314709,65.37626215
311,"rápido",136953,0.03313935,65.40940149
312,"cuál",136406,0.03300698,65.44240848
313,"ayuda",136155,0.03294625,65.47535473
314,"historia",135924,0.03289035,65.50824508
315,"iba",135256,0.03272871,65.54097379
316,"supongo",134885,0.03263894,65.57361273
317,"nueva",134490,0.03254336,65.60615609
318,"entiendo",134138,0.03245818,65.63861427
319,"dentro",133954,0.03241366,65.67102793
320,"casi",133614,0.03233139,65.70335931
321,"puerta",133533,0.03231179,65.73567110
322,"ves",133094,0.03220556,65.76787666
323,"pasar",131693,0.03186655,65.79974321
324,"primero",131298,0.03177097,65.83151418
325,"significa",130774,0.03164418,65.86315836
326,"semana",130555,0.03159118,65.89474954
327,"hacia",130000,0.03145689,65.92620642
328,"quizás",129544,0.03134654,65.95755297
329,"espero",129454,0.03132477,65.98887774
330,"juntos",129353,0.03130033,66.02017806
331,"año",128910,0.03119313,66.05137119
332,"niños",128856,0.03118006,66.08255126
